319不填写姓名,NG,,,,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
320姓名正常情况,OK,,,陈晓明,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
321姓名格式错误,NG,,,葬爱家族@陈兄,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
322姓名长度错误,NG,,,不信你现在就数一数我的名字刚好有二十个字,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming1,000000000000000000,,true_true
323民族正常情况,OK,,,陈晓明,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
324民族不正确,NG,,,陈晓明,1,俄罗斯人妖战斗民族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
325民族长度不正确,NG,,,陈晓明,1,汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
326出生年月格式为空,NG,,,陈晓明,1,汉族,,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
327出生年月格式错误,NG,,,陈晓明,1,汉族,123456,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
328出生年月正常情况,OK,,,陈晓明,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
329年龄为空,NG,,,陈晓明,1,汉族,123456,,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
330年龄格式正常 ,NG,,,陈晓明,1,汉族,123456,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
331年龄错误,OK,,,陈晓明,1,汉族,1949-10-01,1000000,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
332年龄格式错误,OK,,,陈晓明,1,汉族,1949-10-01,一百,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_true
333曾用名为空,OK,,,陈晓明,1,汉族,1949-10-01,18,,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,2018-08-09,2018-08-10,2,2,1,1,,true_false
334正确曾用名字,OK,,,陈晓明,1,汉族,1949-10-01,18,陈鞑明,咸阳阿房宫,蛮夷之地（旧）,蛮夷之地（新）,蛮夷之地蛮夷市蛮夷县88号,13588888888,xiaoming@xiaoming.com,10000,wxid_chengxiaoming,000000000000000000,,true_false
